t,G,B,U
0.0,0.09854919095180048,0.0,0.0
0.5,0.06818474631212468,0.028743841994535276,0.0011269527317303671
1.0,0.048000703931529685,0.048668098651665034,0.004024718374077105
1.5,0.03364220957447387,0.0592935679013641,0.008128893436281011
2.0,0.0228662507571563,0.06580968921669689,0.013149849409912198
2.5,0.015902641287020822,0.06417389604293589,0.01790366981126965
3.0,0.011525939015345042,0.06615066224331749,0.02321930513943397
3.5,0.00815505746572459,0.06315732951009527,0.026691280888201163
4.0,0.0055311519467996255,0.06413270138896816,0.03149156746346743
4.5,0.004045918510037363,0.057443264193235845,0.03646041610515579
5.0,0.0026527910111465622,0.054346812651636836,0.042297170621890444
5.5,0.0018710750935370935,0.05114231731769253,0.04538952334508387
6.0,0.0013247810416634298,0.05121233343669031,0.04870885833496667
6.5,0.0009162436781361921,0.04712238229995251,0.052449967006741226
7.0,0.000643926250021073,0.0433225896888385,0.05693147118511154
7.5,0.00043729224597319763,0.04000975928749472,0.058751782549971154
8.0,0.0003194651689515649,0.03906155230684065,0.06323577206606136
8.5,0.00021270572328238257,0.03490038609329469,0.06280903703283335
9.0,0.00015178396689090575,0.03303433259638463,0.06468588928704218
9.5,0.00010699911602809442,0.02919634125629207,0.0684988161405296
10.0,7.444615733533448e-05,0.027487291944463296,0.07320571970544766
10.5,5.255358124820304e-05,0.02555619692313759,0.07379963418825534
11.0,3.624364660522649e-05,0.02342990034230774,0.07648461956041587
11.5,2.4705625108974073e-05,0.023065625560654373,0.07631340507786669
12.0,1.742504891048734e-05,0.02055566081780787,0.07778047092136578
12.5,1.1871148123519635e-05,0.0194177751486012,0.07965836770654917
13.0,8.823459591744936e-06,0.018412494813162924,0.08104938131033872
13.5,5.7660041911288075e-06,0.016150681238002045,0.08404234680564239
14.0,4.094313018974537e-06,0.015175233036186182,0.08407672289139698
14.5,2.9650443813640356e-06,0.014564971614253902,0.08599341869798124
15.0,2.0088155500557903e-06,0.012960309452726786,0.08811032896648746
15.5,1.4773140890399298e-06,0.012679893764942938,0.08646594914682343
16.0,1.0125228975834306e-06,0.011239796215015016,0.08811098328423125
16.5,7.141837577449883e-07,0.010968570388815366,0.09210164891648316
17.0,4.785270820983323e-07,0.01015332963132811,0.09221601102443375
17.5,3.296773716877265e-07,0.009307766022720255,0.08916728977200901
18.0,2.3115031166858512e-07,0.008353432549336699,0.09352182524416797
18.5,1.6758663000493988e-07,0.008039120884502786,0.09415993354013152
19.0,1.1110342615631173e-07,0.007239543273692493,0.09377794047546947
19.5,7.967792842916766e-08,0.006735225504108076,0.09226313959886197
20.0,5.687626261890914e-08,0.006266624239017665,0.09223616765675655
20.5,3.923367744155271e-08,0.005693543433639894,0.09263748784684737
21.0,2.7383584467059567e-08,0.005537008732927126,0.09533740889547017
21.5,1.8732002842309368e-08,0.0051814661397487595,0.09145081483986667
22.0,1.3432885377747826e-08,0.004484019355821374,0.0916080124984634
22.5,9.986654799491442e-09,0.004152040362637602,0.09817260445225333
23.0,6.986233047449884e-09,0.003970810090336819,0.09596821146387156
23.5,4.7474547037325644e-09,0.003630340212293373,0.09298717895921664
