t,Ip,Ii,ft
0.0,35.98893,43.9957,-8.049534
1.0,38.72102,44.019497,-8.247217
2.0,41.06627,44.68369,-8.683904
3.0,43.11199,46.061195,-9.180972
4.0,44.90057,47.851753,-9.59009
5.0,46.510445,49.73977,-9.9205
6.0,47.97523,51.63571,-10.224241
7.0,49.3058,53.528896,-10.509895
8.0,50.55349,55.484936,-10.773278
9.0,51.712944,57.47506,-11.014655
10.0,52.817394,59.503887,-11.237662
11.0,53.867294,61.542633,-11.446477
12.0,54.87754,63.588844,-11.644613
13.0,55.850594,65.62366,-11.834729
14.0,56.786938,67.638054,-12.018637
15.0,57.698627,69.63464,-12.197328
16.0,58.58136,71.58562,-12.370971
17.0,59.441986,73.51564,-12.539163
18.0,60.278908,75.40351,-12.701331
19.0,61.08909,77.27232,-12.857149
20.0,61.877796,79.12445,-13.006691
21.0,62.652428,80.986374,-13.150324
22.0,63.389694,82.80344,-13.288467
23.0,64.11292,84.64791,-13.42141
24.0,64.80962,86.49061,-13.549257
25.0,65.481636,88.3215,-13.671927
26.0,66.13523,90.17658,-13.789194
27.0,66.7538,92.0025,-13.900757
28.0,67.34341,93.83779,-14.006273
29.0,67.9131,95.6667,-14.105392
30.0,68.44368,97.461685,-14.197794
31.0,68.950424,99.26891,-14.283201
32.0,69.42226,101.04262,-14.361401
33.0,69.869774,102.82806,-14.432264
34.0,70.27876,104.55867,-14.495735
35.0,70.664986,106.2845,-14.55184
36.0,71.00633,107.987015,-14.600653
37.0,71.31979,109.666985,-14.642265
38.0,71.599884,111.32302,-14.676752
39.0,71.84421,112.95247,-14.70413
40.0,72.05461,114.56343,-14.724329
41.0,72.223236,116.130424,-14.737183
42.0,72.35985,117.66716,-14.742432
43.0,72.459076,119.18169,-14.739784
44.0,72.528,120.67109,-14.728958
45.0,72.55181,122.11041,-14.709772
46.0,72.54277,123.5199,-14.682192
47.0,72.49768,124.87188,-14.646366
48.0,72.41024,126.20048,-14.602596
49.0,72.29164,127.45241,-14.551241
50.0,72.134766,128.63708,-14.492592
51.0,71.945435,129.80597,-14.426764
52.0,71.71925,130.9054,-14.353638
53.0,71.44999,131.95366,-14.272957
54.0,71.150925,132.91599,-14.184505
55.0,70.81802,133.85944,-14.08832
56.0,70.45114,134.74828,-13.984769
57.0,70.054214,135.59848,-13.874496
58.0,69.61087,136.36821,-13.758216
59.0,69.1469,137.1076,-13.636414
60.0,68.65852,137.83702,-13.509244
61.0,68.13556,138.49153,-13.376522
62.0,67.5792,139.07777,-13.237986
63.0,67.009544,139.675,-13.09362
64.0,66.40209,140.18867,-12.943916
65.0,65.78508,140.65604,-12.789815
66.0,65.14026,141.09033,-12.632386
67.0,64.47739,141.4759,-12.472355
68.0,63.798042,141.78784,-12.309879
69.0,63.106277,142.08676,-12.144749
70.0,62.400177,142.32251,-11.976878
71.0,61.682358,142.46925,-11.806708
72.0,60.96084,142.59143,-11.635207
73.0,60.2274,142.62985,-11.46347
74.0,59.491966,142.59467,-11.292282
75.0,58.753044,142.5293,-11.121931
76.0,58.015244,142.39209,-10.952397
77.0,57.275143,142.14642,-10.783694
78.0,56.54683,141.91418,-10.6161175
79.0,55.817028,141.60023,-10.450258
80.0,55.10005,141.28499,-10.286836
81.0,54.385063,140.89375,-10.12649
82.0,53.688473,140.48856,-9.969637
83.0,52.996567,140.06253,-9.816445
84.0,52.314754,139.60237,-9.666914
85.0,51.65314,139.14474,-9.521012
86.0,51.003357,138.66754,-9.378798
87.0,50.36891,138.1404,-9.240464
88.0,49.753323,137.60628,-9.106323
89.0,49.15895,137.07603,-8.976718
90.0,48.57782,136.52281,-8.851952
91.0,48.01525,135.93025,-8.732199
92.0,47.47386,135.30798,-8.617511
93.0,46.94766,134.669,-8.507829
94.0,46.4498,134.00174,-8.40304
95.0,45.96791,133.33333,-8.30304
96.0,45.500515,132.60892,-8.207781
97.0,45.059727,131.89203,-8.117269
98.0,44.637558,131.18921,-8.031579
99.0,44.235966,130.43515,-7.950783
100.0,43.85479,129.72229,-7.8749037
101.0,43.492916,129.00244,-7.8038974
102.0,43.149574,128.25256,-7.7376213
103.0,42.825165,127.52648,-7.675869
104.0,42.52288,126.760284,-7.618412
105.0,42.23591,126.03696,-7.565066
106.0,41.968002,125.30515,-7.515711
107.0,41.718548,124.57965,-7.4703155
108.0,41.486855,123.86037,-7.428894
109.0,41.2719,123.16683,-7.3914766
110.0,41.073193,122.46586,-7.358046
111.0,40.890884,121.78438,-7.328505
112.0,40.72451,121.10054,-7.302702
113.0,40.573277,120.459175,-7.2804003
114.0,40.437965,119.7948,-7.2613726
115.0,40.317135,119.16609,-7.245411
116.0,40.209373,118.51769,-7.232362
117.0,40.116756,117.893776,-7.222145
118.0,40.03917,117.26213,-7.214735
119.0,39.9715,116.65649,-7.2101307
120.0,39.91847,116.04014,-7.2083235
121.0,39.876343,115.39809,-7.2092733
122.0,39.84731,114.79384,-7.212879
123.0,39.828587,114.19731,-7.2190065
124.0,39.81905,113.586,-7.2274857
125.0,39.821896,112.99303,-7.238138
126.0,39.834095,112.40034,-7.2508106
127.0,39.856476,111.82384,-7.2653723
128.0,39.88865,111.27669,-7.281728
129.0,39.9302,110.73623,-7.2998085
130.0,39.979713,110.22339,-7.31956
131.0,40.037437,109.71846,-7.3409433
