t,Ip,Ii,gt
0.0,35.98893,43.9957,-0.35269773
1.0,38.72102,44.019497,0.27820313
2.0,41.06627,44.68369,1.0373904
3.0,43.11199,46.061195,1.6447155
4.0,44.90057,47.851753,1.8771104
5.0,46.510445,49.73977,1.8898487
6.0,47.97523,51.63571,1.8934168
7.0,49.3058,53.528896,1.9280012
8.0,50.55349,55.484936,1.9728407
9.0,51.712944,57.47506,2.0112329
10.0,52.817394,59.503887,2.0364306
11.0,53.867294,61.542633,2.0470128
12.0,54.87754,63.588844,2.0438008
13.0,55.850594,65.62366,2.0286345
14.0,56.786938,67.638054,2.0040684
15.0,57.698627,69.63464,1.973373
16.0,58.58136,71.58562,1.9403715
17.0,59.441986,73.51564,1.9089454
18.0,60.278908,75.40351,1.8822589
19.0,61.08909,77.27232,1.8621126
20.0,61.877796,79.12445,1.8487835
21.0,62.652428,80.986374,1.841355
22.0,63.389694,82.80344,1.8382638
23.0,64.11292,84.64791,1.8377677
24.0,64.80962,86.49061,1.8382516
25.0,65.481636,88.3215,1.8383611
26.0,66.13523,90.17658,1.837046
27.0,66.7538,92.0025,1.8335705
28.0,67.34341,93.83779,1.8274904
29.0,67.9131,95.6667,1.8186178
30.0,68.44368,97.461685,1.806971
31.0,68.950424,99.26891,1.792723
32.0,69.42226,101.04262,1.776143
33.0,69.869774,102.82806,1.7575424
34.0,70.27876,104.55867,1.7372309
35.0,70.664986,106.2845,1.7154877
36.0,71.00633,107.987015,1.6925312
37.0,71.31979,109.666985,1.6685069
38.0,71.599884,111.32302,1.6434742
39.0,71.84421,112.95247,1.6173983
40.0,72.05461,114.56343,1.5901462
41.0,72.223236,116.130424,1.5614858
42.0,72.35985,117.66716,1.5310897
43.0,72.459076,119.18169,1.4985582
44.0,72.528,120.67109,1.4634473
45.0,72.55181,122.11041,1.4253188
46.0,72.54277,123.5199,1.3838024
47.0,72.49768,124.87188,1.3386768
48.0,72.41024,126.20048,1.2899606
49.0,72.29164,127.45241,1.2379856
50.0,72.134766,128.63708,1.1834486
51.0,71.945435,129.80597,1.1273892
52.0,71.71925,130.9054,1.0710659
53.0,71.44999,131.95366,1.0157379
54.0,71.150925,132.91599,0.9624028
55.0,70.81802,133.85944,0.9115975
56.0,70.45114,134.74828,0.8633399
57.0,70.054214,135.59848,0.8172301
58.0,69.61087,136.36821,0.77262115
59.0,69.1469,137.1076,0.7287737
60.0,68.65852,137.83702,0.6849636
61.0,68.13556,138.49153,0.6405549
62.0,67.5792,139.07777,0.5950936
63.0,67.009544,139.675,0.54840136
64.0,66.40209,140.18867,0.5006328
65.0,65.78508,140.65604,0.45219302
66.0,65.14026,141.09033,0.40350378
67.0,64.47739,141.4759,0.35467434
68.0,63.798042,141.78784,0.3052647
69.0,63.106277,142.08676,0.25427115
70.0,62.400177,142.32251,0.2004137
71.0,61.682358,142.46925,0.14261913
72.0,60.96084,142.59143,0.08054328
73.0,60.2274,142.62985,0.0149436
74.0,59.491966,142.59467,-0.052259803
75.0,58.753044,142.5293,-0.11833751
76.0,58.015244,142.39209,-0.18046057
77.0,57.275143,142.14642,-0.23643434
78.0,56.54683,141.91418,-0.28513062
79.0,55.817028,141.60023,-0.32648647
80.0,55.10005,141.28499,-0.36122096
81.0,54.385063,140.89375,-0.3904966
82.0,53.688473,140.48856,-0.41565216
83.0,52.996567,140.06253,-0.43802857
84.0,52.314754,139.60237,-0.4588548
85.0,51.65314,139.14474,-0.47915328
86.0,51.003357,138.66754,-0.4996804
87.0,50.36891,138.1404,-0.5208907
88.0,49.753323,137.60628,-0.54294217
89.0,49.15895,137.07603,-0.56572914
90.0,48.57782,136.52281,-0.58893406
91.0,48.01525,135.93025,-0.6120926
92.0,47.47386,135.30798,-0.63466096
