t,Ip,Ii,ft
0.0,36.000908,43.996815,-10.26334
1.0,37.138523,44.13993,-8.842446
2.0,39.580624,44.391827,-8.1520405
3.0,42.301926,45.16823,-8.523209
4.0,44.627964,46.600544,-9.182777
5.0,46.518963,48.539284,-9.751574
6.0,48.069344,50.792633,-10.196542
7.0,49.40822,53.141106,-10.540866
8.0,50.61235,55.467533,-10.813667
9.0,51.735504,57.70636,-11.042817
10.0,52.819454,59.83961,-11.249325
11.0,53.86359,61.861176,-11.446332
12.0,54.874966,63.807693,-11.640891
13.0,55.845253,65.688416,-11.835103
14.0,56.786057,67.53993,-12.02533
15.0,57.69294,69.366745,-12.204438
16.0,58.58103,71.2137,-12.371601
17.0,59.437866,73.07114,-12.535457
18.0,60.27029,74.965866,-12.700295
19.0,61.083527,76.88455,-12.8606415
20.0,61.871235,78.836044,-13.011568
21.0,62.636555,80.7915,-13.15346
22.0,63.375523,82.77614,-13.288965
23.0,64.10043,84.732506,-13.420107
24.0,64.798004,86.64143,-13.547565
25.0,65.47687,88.590744,-13.671001
26.0,66.12849,90.46919,-13.789593
27.0,66.75101,92.287704,-13.902407
28.0,67.34788,94.16058,-14.008638
29.0,67.90167,95.95514,-14.107708
30.0,68.43111,97.740685,-14.199289
31.0,68.93393,99.52102,-14.283302
32.0,69.40622,101.307495,-14.359869
33.0,69.84649,103.019394,-14.429274
34.0,70.26902,104.77748,-14.491888
35.0,70.650055,106.45099,-14.548084
36.0,70.99601,108.13178,-14.598143
37.0,71.316124,109.828835,-14.642113
38.0,71.589775,111.43587,-14.679707
39.0,71.82789,113.06853,-14.710215
40.0,72.03603,114.70152,-14.732595
41.0,72.192665,116.23401,-14.745752
42.0,72.332924,117.78136,-14.749016
43.0,72.43172,119.29672,-14.742567
44.0,72.50813,120.76319,-14.727459
45.0,72.53914,122.17456,-14.705112
46.0,72.53192,123.55029,-14.676594
47.0,72.48745,124.93555,-14.642185
48.0,72.39792,126.17806,-14.601412
49.0,72.27853,127.44028,-14.553425
50.0,72.122444,128.61003,-14.497379
51.0,71.93266,129.74432,-14.432642
52.0,71.70917,130.88562,-14.358891
53.0,71.43445,131.94495,-14.2761345
54.0,71.13833,132.96027,-14.1848545
55.0,70.80595,133.94447,-14.086212
56.0,70.4514,134.87175,-13.982132
57.0,70.064514,135.753,-13.874864
58.0,69.622246,136.58057,-13.765826
59.0,69.15961,137.37848,-13.654183
60.0,68.64987,138.08969,-13.536141
61.0,68.10132,138.75473,-13.406034
62.0,67.53656,139.39746,-13.259348
63.0,66.948654,139.91742,-13.09681
64.0,66.36079,140.4141,-12.92726
65.0,65.768814,140.80087,-12.764917
66.0,65.16492,141.20064,-12.618478
67.0,64.511215,141.49423,-12.4810295
68.0,63.824314,141.78012,-12.335933
69.0,63.116474,142.02957,-12.173411
70.0,62.391884,142.23128,-11.997268
71.0,61.666588,142.39606,-11.817626
72.0,60.93939,142.46793,-11.641571
73.0,60.21155,142.49088,-11.4701
74.0,59.4874,142.50237,-11.300804
75.0,58.74063,142.35098,-11.131426
76.0,58.008957,142.2264,-10.961358
77.0,57.268806,142.02675,-10.791311
78.0,56.5391,141.80948,-10.622475
79.0,55.812595,141.57108,-10.455934
80.0,55.088947,141.21803,-10.292431
81.0,54.38467,140.93407,-10.13235
82.0,53.678146,140.55936,-9.97579
83.0,52.98813,140.17448,-9.822682
84.0,52.309753,139.72446,-9.672922
85.0,51.646046,139.26239,-9.526473
86.0,50.997192,138.76288,-9.383451
87.0,50.35884,138.20648,-9.244142
88.0,49.74322,137.65176,-9.108961
89.0,49.144894,137.05133,-8.978368
90.0,48.567413,136.45628,-8.85277
91.0,48.004044,135.83307,-8.732444
92.0,47.46066,135.20099,-8.6175
93.0,46.937023,134.51782,-8.507883
94.0,46.43487,133.8729,-8.403433
95.0,45.951515,133.17554,-8.303923
96.0,45.48803,132.50577,-8.209116
97.0,45.04145,131.8264,-8.118799
98.0,44.61876,131.0978,-8.032792
99.0,44.217438,130.31937,-7.9510126
100.0,43.844406,129.59586,-7.873541
101.0,43.484673,128.82959,-7.800699
102.0,43.143852,128.11203,-7.73301
103.0,42.81726,127.369064,-7.6710014
104.0,42.51485,126.64278,-7.6148605
105.0,42.23007,125.902664,-7.564189
106.0,41.965347,125.17453,-7.5180054
107.0,41.715973,124.4603,-7.475111
108.0,41.485657,123.77675,-7.434568
109.0,41.267906,123.058205,-7.396097
110.0,41.06709,122.37363,-7.360146
111.0,40.885036,121.69339,-7.3276567
112.0,40.7181,121.00093,-7.299635
113.0,40.567493,120.30656,-7.276746
114.0,40.432705,119.64841,-7.2590046
115.0,40.310223,118.99083,-7.245766
116.0,40.20437,118.352264,-7.235898
117.0,40.114113,117.73004,-7.228182
118.0,40.03646,117.126526,-7.221732
119.0,39.967823,116.48815,-7.216357
120.0,39.911472,115.8962,-7.2126207
121.0,39.866512,115.29129,-7.211585
122.0,39.8366,114.71167,-7.2142887
123.0,39.81586,114.10092,-7.2212067
124.0,39.80967,113.497185,-7.2319913
125.0,39.81661,112.93622,-7.2455845
126.0,39.830746,112.38389,-7.260684
127.0,39.854275,111.861206,-7.276283
128.0,39.885445,111.36696,-7.2920656
129.0,39.92311,110.88748,-7.308489
130.0,39.97367,110.4504,-7.326496
131.0,40.032116,110.012375,-7.34709
132.0,40.100025,109.60459,-7.3708277
133.0,40.176224,109.21537,-7.397559
134.0,40.260826,108.86963,-7.426467
135.0,40.34784,108.52696,-7.4563775
136.0,40.439575,108.18973,-7.4862447
137.0,40.54123,107.86664,-7.5155582
138.0,40.651817,107.59403,-7.544526
139.0,40.770313,107.262924,-7.5740166
140.0,40.897522,107.01187,-7.6051664
141.0,41.02556,106.71369,-7.6389112
142.0,41.160843,106.472466,-7.675536
143.0,41.299393,106.24094,-7.7144823
144.0,41.442795,105.98483,-7.7545576
145.0,41.589294,105.76899,-7.794509
146.0,41.74266,105.5318,-7.833624
147.0,41.897114,105.28675,-7.8719826
148.0,42.05987,105.08629,-7.910272
149.0,42.22668,104.85758,-7.949366
150.0,42.39747,104.667915,-7.9900126
151.0,42.572983,104.49672,-8.032665
152.0,42.75404,104.37962,-8.077401
153.0,42.932755,104.29472,-8.123724
154.0,43.110565,104.24449,-8.170552
155.0,43.287926,104.237526,-8.216559
156.0,43.472794,104.26514,-8.260838
157.0,43.65444,104.28992,-8.303325
158.0,43.84206,104.31499,-8.344671
159.0,44.038208,104.36305,-8.38592
160.0,44.23985,104.43841,-8.428337
161.0,44.43805,104.45056,-8.473116
162.0,44.63914,104.49948,-8.520691
163.0,44.835785,104.53181,-8.5702505
164.0,45.029716,104.57381,-8.620037
165.0,45.222736,104.6225,-8.668209
166.0,45.41468,104.656906,-8.713692
167.0,45.610657,104.70369,-8.756502
168.0,45.81011,104.760956,-8.797575
169.0,46.013638,104.83607,-8.838291
170.0,46.21772,104.92355,-8.879986
171.0,46.421745,105.03027,-8.923556
172.0,46.621075,105.13986,-8.969255
173.0,46.816742,105.26627,-9.016579
174.0,47.009224,105.41237,-9.064316
175.0,47.199486,105.58913,-9.110666
176.0,47.383324,105.75417,-9.153615
177.0,47.567654,105.92763,-9.191748
178.0,47.758224,106.1528,-9.2254505
179.0,47.952248,106.37617,-9.257776
180.0,48.14866,106.60023,-9.293297
181.0,48.349113,106.83299,-9.33489
182.0,48.53874,107.08693,-9.381393
183.0,48.71812,107.34706,-9.428667
184.0,48.88209,107.56023,-9.472586
185.0,49.045395,107.815216,-9.510865
186.0,49.201393,108.0215,-9.543342
187.0,49.36766,108.294876,-9.571635
188.0,49.52646,108.5244,-9.59839
189.0,49.695877,108.75441,-9.626233
190.0,49.864544,109.015015,-9.65675
191.0,50.023983,109.24353,-9.690023
192.0,50.179317,109.47437,-9.724746
193.0,50.318474,109.695496,-9.758847
194.0,50.455563,109.90606,-9.790268
195.0,50.58813,110.13989,-9.817707
196.0,50.72016,110.377304,-9.841087
197.0,50.845875,110.62456,-9.861633
