t,Ip,Ii,gt
0.0,36.000908,43.996815,0.11490452
1.0,37.138523,44.13993,0.14438784
2.0,39.580624,44.391827,0.4604001
3.0,42.301926,45.16823,1.1053301
4.0,44.627964,46.600544,1.7224455
5.0,46.518963,48.539284,2.128819
6.0,48.069344,50.792633,2.3209496
7.0,49.40822,53.141106,2.3534427
8.0,50.61235,55.467533,2.2900453
9.0,51.735504,57.70636,2.184181
10.0,52.819454,59.83961,2.0731854
11.0,53.86359,61.861176,1.9786019
12.0,54.874966,63.807693,1.9087421
13.0,55.845253,65.688416,1.8631322
14.0,56.786057,67.53993,1.8382748
15.0,57.69294,69.366745,1.832293
16.0,58.58103,71.2137,1.8451651
17.0,59.437866,73.07114,1.8739445
18.0,60.27029,74.965866,1.9093872
19.0,61.083527,76.88455,1.9401443
20.0,61.871235,78.836044,1.9590222
21.0,62.636555,80.7915,1.9643714
22.0,63.375523,82.77614,1.9579803
23.0,64.10043,84.732506,1.9428859
24.0,64.798004,86.64143,1.9221331
25.0,65.47687,88.590744,1.8982606
26.0,66.12849,90.46919,1.873182
27.0,66.75101,92.287704,1.8482269
28.0,67.34788,94.16058,1.8242517
29.0,67.90167,95.95514,1.8017424
30.0,68.43111,97.740685,1.7809093
31.0,68.93393,99.52102,1.7617344
32.0,69.40622,101.307495,1.74401
33.0,69.84649,103.019394,1.7273489
34.0,70.26902,104.77748,1.7111952
35.0,70.650055,106.45099,1.6948489
36.0,70.99601,108.13178,1.677516
37.0,71.316124,109.828835,1.6583844
38.0,71.589775,111.43587,1.6367471
39.0,71.82789,113.06853,1.6121079
40.0,72.03603,114.70152,1.5842416
41.0,72.192665,116.23401,1.5531503
42.0,72.332924,117.78136,1.5189145
43.0,72.43172,119.29672,1.4815388
44.0,72.50813,120.76319,1.4409813
45.0,72.53914,122.17456,1.3974018
46.0,72.53192,123.55029,1.3514324
47.0,72.48745,124.93555,1.304244
48.0,72.39792,126.17806,1.2572528
49.0,72.27853,127.44028,1.2116613
50.0,72.122444,128.61003,1.1680382
51.0,71.93266,129.74432,1.1261256
52.0,71.70917,130.88562,1.0849048
53.0,71.43445,131.94495,1.0429378
54.0,71.13833,132.96027,0.99891293
55.0,70.80595,133.94447,0.9522357
56.0,70.4514,134.87175,0.9033681
57.0,70.064514,135.753,0.8535855
58.0,69.622246,136.58057,0.80403185
59.0,69.15961,137.37848,0.7545309
60.0,68.64987,138.08969,0.703004
61.0,68.10132,138.75473,0.64639926
62.0,67.53656,139.39746,0.5830569
63.0,66.948654,139.91742,0.51518285
64.0,66.36079,140.4141,0.44911122
65.0,65.768814,140.80087,0.39183784
66.0,65.16492,141.20064,0.34581637
67.0,64.511215,141.49423,0.30736756
68.0,63.824314,141.78012,0.2704425
69.0,63.116474,142.02957,0.2300452
70.0,62.391884,142.23128,0.1822635
71.0,61.666588,142.39606,0.124969125
72.0,60.93939,142.46793,0.060145736
73.0,60.21155,142.49088,-0.006198883
74.0,59.4874,142.50237,-0.06761289
75.0,58.74063,142.35098,-0.12061596
76.0,58.008957,142.2264,-0.16529071
77.0,57.268806,142.02675,-0.20383322
78.0,56.5391,141.80948,-0.238922
79.0,55.812595,141.57108,-0.27276886
80.0,55.088947,141.21803,-0.3068006
81.0,54.38467,140.93407,-0.34168792
82.0,53.678146,140.55936,-0.37748802
83.0,52.98813,140.17448,-0.41380036
84.0,52.309753,139.72446,-0.4499117
85.0,51.646046,139.26239,-0.48493183
86.0,50.997192,138.76288,-0.51793087
87.0,50.35884,138.20648,-0.5480777
88.0,49.74322,137.65176,-0.5747719
89.0,49.144894,137.05133,-0.5977504
90.0,48.567413,136.45628,-0.6171479
91.0,48.004044,135.83307,-0.6334963
92.0,47.46066,135.20099,-0.64764273
93.0,46.937023,134.51782,-0.66060567
94.0,46.43487,133.8729,-0.6733626
95.0,45.951515,133.17554,-0.6866214
96.0,45.48803,132.50577,-0.7006117
97.0,45.04145,131.8264,-0.7149519
98.0,44.61876,131.0978,-0.72865903
99.0,44.217438,130.31937,-0.74033
100.0,43.844406,129.59586,-0.74848664
101.0,43.484673,128.82959,-0.75200784
102.0,43.143852,128.11203,-0.75051284
103.0,42.81726,127.369064,-0.7445427
104.0,42.51485,126.64278,-0.735469
105.0,42.23007,125.902664,-0.725126
106.0,41.965347,125.17453,-0.7153206
107.0,41.715973,124.4603,-0.7073499
108.0,41.485657,123.77675,-0.7016914
109.0,41.267906,123.058205,-0.6979269
110.0,41.06709,122.37363,-0.6949171
111.0,40.885036,121.69339,-0.6911688
112.0,40.7181,121.00093,-0.68530786
113.0,40.567493,120.30656,-0.67650855
114.0,40.432705,119.64841,-0.6647948
115.0,40.310223,118.99083,-0.6510916
116.0,40.20437,118.352264,-0.63701665
117.0,40.114113,117.73004,-0.62441456
118.0,40.03646,117.126526,-0.6147543
119.0,39.967823,116.48815,-0.6085584
120.0,39.911472,115.8962,-0.6050943
121.0,39.866512,115.29129,-0.60249305
122.0,39.8366,114.71167,-0.59829557
123.0,39.81586,114.10092,-0.5902307
124.0,39.80967,113.497185,-0.5768908
125.0,39.81661,112.93622,-0.55807364
126.0,39.830746,112.38389,-0.5347048
127.0,39.854275,111.861206,-0.50845575
128.0,39.885445,111.36696,-0.48123908
129.0,39.92311,110.88748,-0.45475543
130.0,39.97367,110.4504,-0.4302125
131.0,40.032116,110.012375,-0.4082092
132.0,40.100025,109.60459,-0.3888067
133.0,40.176224,109.21537,-0.37168217
134.0,40.260826,108.86963,-0.35630572
135.0,40.34784,108.52696,-0.3420961
136.0,40.439575,108.18973,-0.3285308
137.0,40.54123,107.86664,-0.3152119
138.0,40.651817,107.59403,-0.3019278
139.0,40.770313,107.262924,-0.28867066
140.0,40.897522,107.01187,-0.27568245
141.0,41.02556,106.71369,-0.2634461
142.0,41.160843,106.472466,-0.2526667
143.0,41.299393,106.24094,-0.2440995
144.0,41.442795,105.98483,-0.23820925
145.0,41.589294,105.76899,-0.23464084
146.0,41.74266,105.5318,-0.23183143
147.0,41.897114,105.28675,-0.22712362
148.0,42.05987,105.08629,-0.21751094
149.0,42.22668,104.85758,-0.20061111
