t,Ip,Ii,gt
0.0,36.000645,43.998135,-0.4298545
1.0,38.050495,44.427452,1.1774688
2.0,40.82686,45.875015,1.6347325
3.0,43.110046,47.58628,1.7682364
4.0,44.944874,49.38053,1.8047765
5.0,46.53131,51.180626,1.804575
6.0,47.974,52.975834,1.7961866
7.0,49.307655,54.758255,1.7888272
8.0,50.552593,56.549725,1.7845591
9.0,51.71999,58.31534,1.7836796
10.0,52.821835,60.09092,1.786313
11.0,53.871635,61.87786,1.7928501
12.0,54.878178,63.682625,1.803901
13.0,55.84953,65.48492,1.8199955
14.0,56.781483,67.30687,1.8413029
15.0,57.698006,69.172806,1.8671056
16.0,58.57486,71.03953,1.8949664
17.0,59.432137,72.938644,1.920669
18.0,60.27264,74.87976,1.9399111
19.0,61.086735,76.83095,1.9505831
20.0,61.872467,78.766945,1.953562
21.0,62.643578,80.72785,1.9513606
22.0,63.39403,82.69398,1.945754
23.0,64.11295,84.631256,1.9365097
24.0,64.810074,86.559616,1.9223454
25.0,65.48405,88.47948,1.9027139
26.0,66.13257,90.37842,1.8785802
27.0,66.748215,92.23233,1.851953
28.0,67.34036,94.062546,1.8250171
29.0,67.90312,95.869255,1.7994988
30.0,68.438644,97.65786,1.7764105
31.0,68.95206,99.44547,1.7560568
32.0,69.42204,101.18162,1.7381731
33.0,69.86629,102.90912,1.7220883
34.0,70.27957,104.630005,1.7068876
35.0,70.65349,106.30885,1.6915565
36.0,71.00519,108.00893,1.6750983
37.0,71.315,109.668,1.6566341
38.0,71.597855,111.32479,1.6354724
39.0,71.837234,112.929184,1.6111323
40.0,72.04733,114.540405,1.583346
41.0,72.22374,116.119385,1.5520347
42.0,72.35501,117.64986,1.5173364
43.0,72.457886,119.14993,1.4796993
44.0,72.52417,120.626015,1.4400156
45.0,72.54638,122.03918,1.3995957
46.0,72.53724,123.4019,1.3597745
47.0,72.49375,124.7461,1.3211747
48.0,72.405914,126.04373,1.2831247
49.0,72.287796,127.31485,1.2439505
50.0,72.13086,128.52086,1.2019871
51.0,71.936066,129.70074,1.1565284
52.0,71.713524,130.85948,1.1083666
53.0,71.44166,131.92679,1.0596707
54.0,71.14478,132.98495,1.0125055
55.0,70.80987,133.96765,0.96666145
56.0,70.44038,134.90454,0.91912353
57.0,70.0403,135.79291,0.866122
58.0,69.60812,136.64673,0.8059834
59.0,69.139656,137.3985,0.74035406
60.0,68.648865,138.1284,0.6731367
61.0,68.13029,138.76654,0.6083077
62.0,67.58507,139.35811,0.5483011
63.0,66.996185,139.87099,0.49370134
64.0,66.40123,140.31816,0.44386923
65.0,65.778366,140.75029,0.397654
66.0,65.13452,141.12137,0.35379755
67.0,64.47651,141.4583,0.31106067
68.0,63.794662,141.72899,0.2683034
69.0,63.10479,141.99632,0.22459918
70.0,62.391388,142.17995,0.17933822
71.0,61.678802,142.35376,0.13226807
72.0,60.956894,142.47765,0.08343208
73.0,60.22764,142.54706,0.033078313
74.0,59.490158,142.52228,-0.018440008
75.0,58.750084,142.48654,-0.07073033
76.0,58.011032,142.37991,-0.123379946
77.0,57.278076,142.26965,-0.17594981
78.0,56.545612,142.0277,-0.22795546
79.0,55.815247,141.76587,-0.27885687
80.0,55.095512,141.47522,-0.32806802
81.0,54.389244,141.12367,-0.37496412
82.0,53.68871,140.74646,-0.4189105
83.0,52.999016,140.28331,-0.45930207
84.0,52.315266,139.78268,-0.49558842
85.0,51.656654,139.30853,-0.5273173
86.0,51.004383,138.75224,-0.55417407
87.0,50.375656,138.21994,-0.57604086
88.0,49.756237,137.59836,-0.59304416
89.0,49.15579,136.988,-0.6056216
90.0,48.57937,136.4193,-0.61454916
91.0,48.01329,135.78482,-0.62092423
92.0,47.475033,135.18076,-0.6260642
93.0,46.955368,134.52951,-0.6313145
94.0,46.454014,133.90604,-0.63782454
95.0,45.970543,133.26187,-0.64636314
96.0,45.507774,132.60681,-0.6572454
97.0,45.064587,131.93512,-0.67038095
98.0,44.64315,131.27054,-0.6853726
99.0,44.23789,130.5599,-0.7015796
100.0,43.855614,129.86095,-0.7181364
101.0,43.496056,129.15228,-0.7339717
102.0,43.150387,128.3851,-0.74788463
103.0,42.828896,127.63594,-0.7587036
104.0,42.52375,126.87288,-0.7654662
105.0,42.2345,126.09418,-0.7675866
106.0,41.96924,125.33441,-0.76495814
107.0,41.720154,124.577194,-0.75798774
108.0,41.487995,123.81915,-0.74758935
109.0,41.27195,123.071976,-0.73507607
110.0,41.072914,122.33931,-0.7219604
111.0,40.890266,121.61665,-0.70960224
112.0,40.726715,120.90218,-0.69880414
113.0,40.576385,120.243576,-0.68945193
114.0,40.441246,119.53998,-0.6804671
115.0,40.321434,118.86772,-0.6701348
116.0,40.217,118.19972,-0.65680325
117.0,40.119846,117.54309,-0.6396239
118.0,40.040157,116.92389,-0.61900735
119.0,39.9741,116.30369,-0.5965581
120.0,39.919937,115.71774,-0.57455456
121.0,39.87918,115.1575,-0.5552288
122.0,39.85009,114.635376,-0.54016495
123.0,39.830627,114.11674,-0.52998304
124.0,39.820152,113.56915,-0.5243119
125.0,39.82453,113.062904,-0.5219573
126.0,39.838093,112.5543,-0.5211432
127.0,39.861645,112.02052,-0.5197797
128.0,39.892273,111.502335,-0.5157119
129.0,39.933434,111.00305,-0.50696826
130.0,39.983067,110.499756,-0.49201512
131.0,40.040417,109.99747,-0.47001255
132.0,40.111034,109.57271,-0.44105363
133.0,40.185524,109.13928,-0.40636218
134.0,40.267723,108.757935,-0.36832142
135.0,40.35521,108.40616,-0.33026588
136.0,40.453636,108.10512,-0.2959119
137.0,40.557095,107.83116,-0.26845968
138.0,40.666355,107.542046,-0.24971342
139.0,40.783417,107.32333,-0.23970342
140.0,40.905674,107.074234,-0.23717403
141.0,41.031254,106.83085,-0.24057424
142.0,41.164143,106.61687,-0.24850154
143.0,41.303593,106.34044,-0.25894713
144.0,41.44664,106.108986,-0.2683736
145.0,41.59487,105.816025,-0.27236676
146.0,41.746895,105.54924,-0.2674948
147.0,41.902225,105.30492,-0.2524215
148.0,42.064407,105.06906,-0.22786033
