t,Ip,Ii,ft
0.0,35.9995,44.001007,-9.114156
1.0,38.78182,43.909615,-8.414161
2.0,41.08051,44.424107,-8.694359
3.0,43.13503,45.549404,-9.1809635
4.0,44.924675,47.138226,-9.587845
5.0,46.52673,49.047287,-9.918603
6.0,47.980698,51.113766,-10.219396
7.0,49.327183,53.301727,-10.503201
8.0,50.571518,55.476936,-10.763574
9.0,51.7315,57.63235,-10.999837
10.0,52.83588,59.759995,-11.21922
11.0,53.886406,61.84017,-11.428964
12.0,54.89857,63.883,-11.632048
13.0,55.87397,65.88121,-11.828045
14.0,56.808617,67.81189,-12.015747
15.0,57.71928,69.71758,-12.194985
16.0,58.603252,71.5946,-12.366912
17.0,59.45865,73.4423,-12.533158
18.0,60.299263,75.30476,-12.694855
19.0,61.106583,77.141205,-12.852068
20.0,61.900444,79.00412,-13.00393
21.0,62.676674,80.87994,-13.149325
22.0,63.408546,82.70369,-13.287689
23.0,64.13812,84.586105,-13.419416
24.0,64.82614,86.430725,-13.545595
25.0,65.50218,88.299835,-13.667248
26.0,66.151596,90.16055,-13.784673
27.0,66.7738,92.01747,-13.897274
28.0,67.36217,93.8475,-14.003973
29.0,67.93097,95.712395,-14.103775
30.0,68.46151,97.52939,-14.196148
31.0,68.97533,99.39134,-14.281071
32.0,69.45438,101.21138,-14.358843
33.0,69.8954,103.00133,-14.429798
34.0,70.31116,104.802765,-14.494099
35.0,70.689545,106.55239,-14.551645
36.0,71.0371,108.28528,-14.602126
37.0,71.34053,109.97262,-14.645142
38.0,71.63124,111.6835,-14.680359
39.0,71.867905,113.27312,-14.707619
40.0,72.07733,114.87239,-14.726946
41.0,72.25101,116.42047,-14.738501
42.0,72.38377,117.90947,-14.742449
43.0,72.48877,119.37985,-14.738852
44.0,72.549995,120.799934,-14.727605
45.0,72.58438,122.1917,-14.708491
46.0,72.56439,123.509,-14.68128
47.0,72.52255,124.851875,-14.645874
48.0,72.44499,126.144104,-14.602394
49.0,72.32376,127.381836,-14.551119
50.0,72.16526,128.58194,-14.492325
51.0,71.97254,129.75272,-14.426097
52.0,71.73866,130.88298,-14.352304
53.0,71.47647,131.98656,-14.270802
54.0,71.17961,133.05904,-14.181673
55.0,70.84468,134.03583,-14.085367
56.0,70.47328,135.00343,-13.982459
57.0,70.06416,135.84998,-13.873324
58.0,69.63543,136.69843,-13.757917
59.0,69.173615,137.46808,-13.635954
60.0,68.6785,138.14922,-13.507345
61.0,68.162476,138.79288,-13.372535
62.0,67.60083,139.33528,-13.232446
63.0,67.0314,139.89557,-13.087994
64.0,66.424225,140.36417,-12.939671
65.0,65.80631,140.837,-12.787395
66.0,65.156525,141.23457,-12.630932
67.0,64.49357,141.60051,-12.470334
68.0,63.822792,141.94868,-12.306243
69.0,63.12651,142.1902,-12.139718
70.0,62.420486,142.37468,-11.971809
71.0,61.703552,142.49516,-11.803104
72.0,60.9768,142.55383,-11.633646
73.0,60.247223,142.55014,-11.463318
74.0,59.51097,142.46716,-11.292383
75.0,58.771584,142.35727,-11.121653
76.0,58.03445,142.22173,-10.95208
77.0,57.29776,142.07983,-10.784262
78.0,56.563477,141.85999,-10.618302
79.0,55.837837,141.64627,-10.454147
80.0,55.121254,141.38828,-10.291926
81.0,54.409916,141.11426,-10.132037
82.0,53.70381,140.76166,-9.9749975
83.0,53.013535,140.36877,-9.821243
84.0,52.334404,139.95332,-9.671078
85.0,51.673874,139.48828,-9.524694
86.0,51.025105,138.96869,-9.382277
87.0,50.38926,138.42778,-9.244039
88.0,49.772217,137.86383,-9.1102295
89.0,49.17626,137.28992,-8.981061
90.0,48.595356,136.68523,-8.856656
91.0,48.030296,136.04678,-8.737016
92.0,47.489105,135.41467,-8.622077
93.0,46.965843,134.75476,-8.511776
94.0,46.460297,134.06236,-8.406138
95.0,45.978813,133.39247,-8.305271
96.0,45.514515,132.64044,-8.209321
97.0,45.071785,131.9372,-8.118394
98.0,44.65085,131.20534,-8.032497
99.0,44.244705,130.42442,-7.9515266
100.0,43.863598,129.71255,-7.8753176
101.0,43.500378,128.96289,-7.803719
102.0,43.157738,128.22571,-7.7366533
103.0,42.833477,127.484146,-7.674119
104.0,42.527424,126.754745,-7.6161256
105.0,42.240505,126.037704,-7.5625877
106.0,41.973927,125.32474,-7.513323
107.0,41.72364,124.601,-7.4681034
108.0,41.491653,123.89339,-7.426778
109.0,41.274498,123.16384,-7.389284
110.0,41.07518,122.43293,-7.3556347
111.0,40.89405,121.73546,-7.3258495
112.0,40.72812,121.03605,-7.2998743
113.0,40.577988,120.358894,-7.2775583
114.0,40.44023,119.67258,-7.2586274
115.0,40.320896,119.01874,-7.242764
116.0,40.21337,118.373085,-7.2296996
117.0,40.12152,117.76572,-7.219332
118.0,40.042675,117.13081,-7.2117558
119.0,39.974922,116.507645,-7.207202
120.0,39.9207,115.89964,-7.2058697
121.0,39.880062,115.283905,-7.207734
122.0,39.85167,114.715546,-7.212427
123.0,39.830956,114.11835,-7.2193265
124.0,39.821617,113.5525,-7.227828
125.0,39.823143,113.01926,-7.2376657
126.0,39.836563,112.44699,-7.2490416
127.0,39.85913,111.943726,-7.262473
128.0,39.893425,111.39224,-7.2784147
129.0,39.932114,110.91499,-7.2969303
130.0,39.981754,110.428955,-7.3176517
131.0,40.042004,109.98622,-7.3399935
132.0,40.110863,109.55325,-7.363457
133.0,40.185368,109.15437,-7.387846
134.0,40.267235,108.796974,-7.413275
135.0,40.357758,108.44168,-7.4400406
136.0,40.455482,108.12984,-7.4684296
137.0,40.55828,107.84607,-7.4985657
138.0,40.668022,107.57255,-7.530365
139.0,40.783955,107.27325,-7.5635715
140.0,40.907116,106.98253,-7.59786
141.0,41.035217,106.74997,-7.632952
142.0,41.167492,106.51602,-7.668682
143.0,41.30623,106.27653,-7.705035
144.0,41.44919,105.98775,-7.7421093
145.0,41.59966,105.778946,-7.7800627
146.0,41.752117,105.55766,-7.819029
147.0,41.90921,105.30461,-7.859063
148.0,42.068768,105.11888,-7.900101
149.0,42.23262,104.9557,-7.941971
150.0,42.401188,104.73833,-7.9844313
151.0,42.571712,104.59118,-8.027258
152.0,42.74927,104.44692,-8.07033
153.0,42.926422,104.37894,-8.113657
154.0,43.109737,104.270676,-8.157366
155.0,43.291813,104.19132,-8.201593
156.0,43.477203,104.18704,-8.246388
157.0,43.662434,104.14815,-8.291621
158.0,43.8563,104.16623,-8.337017
159.0,44.044445,104.18095,-8.382261
160.0,44.243355,104.21292,-8.42716
161.0,44.43506,104.25276,-8.47175
162.0,44.62846,104.30495,-8.516257
163.0,44.82811,104.35475,-8.56095
164.0,45.029808,104.39377,-8.605979
165.0,45.224365,104.46285,-8.6512985
166.0,45.426487,104.526665,-8.696748
167.0,45.62645,104.5782,-8.7421255
168.0,45.823906,104.676865,-8.787205
169.0,46.023895,104.787735,-8.83171
170.0,46.221653,104.88983,-8.875419
171.0,46.420845,105.04367,-8.91832
172.0,46.617016,105.18762,-8.9606905
173.0,46.817455,105.37556,-9.002957
174.0,47.010757,105.55614,-9.04548
175.0,47.20641,105.753525,-9.08831
176.0,47.401726,105.96588,-9.131148
