t,Ip,Ii,ft
0.0,36.001286,43.997726,-10.189347
1.0,37.07137,44.23216,-9.008445
2.0,39.307293,44.882633,-8.3005495
3.0,42.02407,46.113846,-8.410466
4.0,44.51477,47.792442,-9.018297
5.0,46.521008,49.745525,-9.69019
6.0,48.103058,51.808475,-10.202096
7.0,49.434807,53.90751,-10.556675
8.0,50.632637,55.98478,-10.823521
9.0,51.760406,58.03154,-11.051524
10.0,52.830994,60.01337,-11.262123
11.0,53.871082,61.975746,-11.462811
12.0,54.878807,63.914124,-11.6560955
13.0,55.851204,65.81013,-11.84301
14.0,56.799915,67.71409,-12.024471
15.0,57.71378,69.58388,-12.201816
16.0,58.600166,71.44758,-12.376462
17.0,59.468536,73.32747,-12.548403
18.0,60.297874,75.17822,-12.714968
19.0,61.112915,77.054726,-12.872366
20.0,61.89447,78.915535,-13.0194645
21.0,62.66165,80.79675,-13.159146
22.0,63.412895,82.6887,-13.295242
23.0,64.12633,84.537674,-13.429108
24.0,64.82534,86.40848,-13.559332
25.0,65.50064,88.28163,-13.683794
26.0,66.153175,90.16194,-13.8013315
27.0,66.77693,92.03763,-13.911921
28.0,67.36568,93.89443,-14.016025
29.0,67.93508,95.75105,-14.113952
30.0,68.46695,97.57751,-14.20562
31.0,68.96359,99.38619,-14.2906685
32.0,69.44679,101.213104,-14.368698
33.0,69.884476,102.94989,-14.439464
34.0,70.29846,104.694214,-14.502958
35.0,70.681244,106.404495,-14.559397
36.0,71.02928,108.08185,-14.609058
37.0,71.35408,109.778404,-14.652115
38.0,71.63535,111.42438,-14.688438
39.0,71.877884,113.04959,-14.717529
40.0,72.07623,114.64162,-14.738619
41.0,72.24692,116.22723,-14.750956
42.0,72.38139,117.78108,-14.754149
43.0,72.48152,119.275925,-14.74841
44.0,72.54933,120.75256,-14.734491
45.0,72.5799,122.17497,-14.713366
46.0,72.581825,123.5813,-14.685802
47.0,72.53659,124.92371,-14.652045
48.0,72.45085,126.22957,-14.611734
49.0,72.33115,127.48305,-14.564068
50.0,72.16614,128.66724,-14.508117
51.0,71.97055,129.82562,-14.443167
52.0,71.73893,130.92906,-14.368994
53.0,71.47468,131.96495,-14.28599
54.0,71.18184,132.97995,-14.195068
55.0,70.84967,133.93073,-14.097374
56.0,70.48422,134.86421,-13.993891
57.0,70.07831,135.70311,-13.885099
58.0,69.64908,136.56241,-13.77083
59.0,69.18407,137.36145,-13.650445
60.0,68.68333,138.07713,-13.523244
61.0,68.16226,138.79572,-13.38891
62.0,67.601,139.40952,-13.247828
63.0,67.02211,139.95816,-13.101039
64.0,66.42206,140.44109,-12.949907
65.0,65.81521,140.90524,-12.795685
66.0,65.17427,141.25998,-12.639307
67.0,64.51398,141.59995,-12.481414
68.0,63.8376,141.92572,-12.322308
69.0,63.13417,142.13716,-12.161457
70.0,62.421314,142.33545,-11.997085
71.0,61.69445,142.47815,-11.827077
72.0,60.962437,142.5787,-11.651087
73.0,60.236256,142.63937,-11.471833
74.0,59.503372,142.58607,-11.293913
75.0,58.77298,142.49924,-11.121128
76.0,58.045105,142.35074,-10.9545355
77.0,57.314667,142.15732,-10.792484
78.0,56.58114,141.89893,-10.632072
79.0,55.84565,141.65913,-10.4709635
80.0,55.11235,141.34097,-10.308499
81.0,54.395798,141.03383,-10.145674
82.0,53.68657,140.6718,-9.984407
83.0,53.00081,140.29167,-9.826681
84.0,52.325905,139.88889,-9.673982
85.0,51.6678,139.43863,-9.527074
86.0,51.022858,138.95975,-9.385983
87.0,50.385483,138.42613,-9.250205
88.0,49.77112,137.89474,-9.118959
89.0,49.16928,137.33197,-8.991505
90.0,48.58945,136.73933,-8.867386
91.0,48.02461,136.14217,-8.746592
92.0,47.481018,135.4784,-8.62956
93.0,46.9576,134.81915,-8.517082
94.0,46.457287,134.1299,-8.410044
95.0,45.97896,133.42636,-8.309151
96.0,45.519688,132.7116,-8.214672
97.0,45.080578,131.98564,-8.126318
98.0,44.661114,131.26154,-8.043342
99.0,44.254158,130.52469,-7.964813
100.0,43.864548,129.78801,-7.889908
101.0,43.494965,129.02989,-7.8181114
102.0,43.148495,128.28357,-7.7493286
103.0,42.82451,127.54892,-7.6839113
104.0,42.52125,126.820114,-7.6226106
105.0,42.23954,126.09029,-7.5664263
106.0,41.974495,125.37959,-7.51626
107.0,41.727848,124.68938,-7.4724665
108.0,41.49664,123.981,-7.4344664
109.0,41.278305,123.29,-7.4007473
110.0,41.07613,122.60995,-7.369342
111.0,40.88729,121.8936,-7.3387847
112.0,40.7153,121.15587,-7.3089814
113.0,40.564125,120.433846,-7.281436
114.0,40.433254,119.72034,-7.2584763
115.0,40.32154,119.02365,-7.2417946
