t,Ip,Ii,gt
0.0,36.001286,43.997726,-0.18248773
1.0,37.07137,44.23216,0.39657545
2.0,39.307293,44.882633,0.9535856
3.0,42.02407,46.113846,1.4828353
4.0,44.51477,47.792442,1.8484069
5.0,46.521008,49.745525,2.031122
6.0,48.103058,51.808475,2.0918193
7.0,49.434807,53.90751,2.089067
8.0,50.632637,55.98478,2.0580502
9.0,51.760406,58.03154,2.0170178
10.0,52.830994,60.01337,1.9761126
11.0,53.871082,61.975746,1.9413308
12.0,54.878807,63.914124,1.915288
13.0,55.851204,65.81013,1.8975095
14.0,56.799915,67.71409,1.885586
15.0,57.71378,69.58388,1.8770255
16.0,58.600166,71.44758,1.8708315
17.0,59.468536,73.32747,1.8676301
18.0,60.297874,75.17822,1.8681042
19.0,61.112915,77.054726,1.8713065
20.0,61.89447,78.915535,1.8748817
21.0,62.66165,80.79675,1.8769089
22.0,63.412895,82.6887,1.8771303
23.0,64.12633,84.537674,1.8764936
24.0,64.82534,86.40848,1.8758411
25.0,65.50064,88.28163,1.875022
26.0,66.153175,90.16194,1.872912
27.0,66.77693,92.03763,1.8680093
28.0,67.36568,93.89443,1.8591007
29.0,67.93508,95.75105,1.8456314
30.0,68.46695,97.57751,1.8277715
31.0,68.96359,99.38619,1.8062809
32.0,69.44679,101.213104,1.7822932
33.0,69.884476,102.94989,1.7570772
34.0,70.29846,104.694214,1.7318064
35.0,70.681244,106.404495,1.7073584
36.0,71.02928,108.08185,1.6841367
37.0,71.35408,109.778404,1.6619701
38.0,71.63535,111.42438,1.6401206
39.0,71.877884,113.04959,1.6174417
40.0,72.07623,114.64162,1.5926732
41.0,72.24692,116.22723,1.5647776
42.0,72.38139,117.78108,1.5331808
43.0,72.48152,119.275925,1.4978019
44.0,72.54933,120.75256,1.4589026
45.0,72.5799,122.17497,1.4168781
46.0,72.581825,123.5813,1.372127
47.0,72.53659,124.92371,1.325018
48.0,72.45085,126.22957,1.2759347
49.0,72.33115,127.48305,1.2253381
50.0,72.16614,128.66724,1.1738336
51.0,71.97055,129.82562,1.122198
52.0,71.73893,130.92906,1.0713925
53.0,71.47468,131.96495,1.0224644
54.0,71.18184,132.97995,0.97631586
55.0,70.84967,133.93073,0.933342
56.0,70.48422,134.86421,0.8930638
57.0,70.07831,135.70311,0.85393965
58.0,69.64908,136.56241,0.8135483
59.0,69.18407,137.36145,0.7691703
60.0,68.68333,138.07713,0.71861696
61.0,68.16226,138.79572,0.6610906
62.0,67.601,139.40952,0.5977905
63.0,67.02211,139.95816,0.53195894
64.0,66.42206,140.44109,0.46809757
65.0,65.81521,140.90524,0.41018975
66.0,65.17427,141.25998,0.35975134
67.0,64.51398,141.59995,0.31496048
68.0,63.8376,141.92572,0.27165163
69.0,63.13417,142.13716,0.22539413
70.0,62.421314,142.33545,0.17329979
71.0,61.69445,142.47815,0.114972115
72.0,60.962437,142.5787,0.052451134
73.0,60.236256,142.63937,-0.010653973
74.0,59.503372,142.58607,-0.070589185
75.0,58.77298,142.49924,-0.12471902
76.0,58.045105,142.35074,-0.17209971
77.0,57.314667,142.15732,-0.21330476
78.0,56.58114,141.89893,-0.24975693
79.0,55.84565,141.65913,-0.28296137
80.0,55.11235,141.34097,-0.3140663
81.0,54.395798,141.03383,-0.34382176
82.0,53.68657,140.6718,-0.37278855
83.0,53.00081,140.29167,-0.40148067
84.0,52.325905,139.88889,-0.43036056
85.0,51.6678,139.43863,-0.45971227
86.0,51.022858,138.95975,-0.4895742
87.0,50.385483,138.42613,-0.5197158
88.0,49.77112,137.89474,-0.5496832
89.0,49.16928,137.33197,-0.57890844
90.0,48.58945,136.73933,-0.6067809
91.0,48.02461,136.14217,-0.63271785
92.0,47.481018,135.4784,-0.656204
93.0,46.9576,134.81915,-0.6768209
94.0,46.457287,134.1299,-0.6942767
95.0,45.97896,133.42636,-0.70845544
96.0,45.519688,132.7116,-0.7194346
