t,Ip,Ii,ft
0.0,35.997253,44.00129,-10.342737
1.0,37.248455,44.122997,-8.507918
2.0,39.956207,44.851234,-7.999016
3.0,42.712677,46.19915,-8.608123
4.0,44.90648,48.00599,-9.343217
5.0,46.630615,50.070686,-9.893996
6.0,48.07879,52.218803,-10.278584
7.0,49.36615,54.385895,-10.566258
8.0,50.55154,56.47074,-10.806547
9.0,51.6864,58.480717,-11.024923
10.0,52.786316,60.41976,-11.232761
11.0,53.84752,62.27781,-11.4354725
12.0,54.875534,64.08831,-11.635788
13.0,55.857788,65.87533,-11.833982
14.0,56.798798,67.63291,-12.027721
15.0,57.700226,69.37756,-12.213267
16.0,58.57731,71.15318,-12.38773
17.0,59.432503,72.94832,-12.5510235
18.0,60.263054,74.782036,-12.70641
19.0,61.080585,76.66996,-12.858812
20.0,61.876213,78.5634,-13.011134
21.0,62.646202,80.50027,-13.161642
22.0,63.391304,82.47734,-13.305788
23.0,64.108475,84.43617,-13.440817
24.0,64.806656,86.40411,-13.56793
25.0,65.4779,88.3603,-13.689829
26.0,66.12755,90.305756,-13.807152
27.0,66.74883,92.21246,-13.918029
28.0,67.33658,94.028854,-14.020794
29.0,67.9052,95.87479,-14.116045
30.0,68.451385,97.71488,-14.205674
31.0,68.95174,99.47518,-14.290491
32.0,69.417145,101.17674,-14.369375
33.0,69.86316,102.92299,-14.440555
34.0,70.27478,104.6606,-14.503217
35.0,70.65167,106.373795,-14.557934
36.0,70.99872,108.05916,-14.605882
37.0,71.31137,109.71935,-14.64782
38.0,71.59491,111.419754,-14.683526
39.0,71.829895,113.051636,-14.712027
40.0,72.04237,114.647354,-14.732258
41.0,72.21455,116.236626,-14.743657
42.0,72.352234,117.7729,-14.746388
43.0,72.452576,119.2773,-14.741114
44.0,72.50688,120.70175,-14.728533
45.0,72.5399,122.14956,-14.708997
46.0,72.53186,123.49805,-14.682357
47.0,72.484886,124.837105,-14.64814
48.0,72.40203,126.13976,-14.605865
49.0,72.288605,127.39781,-14.555239
50.0,72.12691,128.58873,-14.496134
51.0,71.9358,129.7634,-14.428506
52.0,71.7083,130.88805,-14.352531
53.0,71.44623,131.93951,-14.268988
54.0,71.14008,132.92084,-14.179184
55.0,70.80944,133.8723,-14.083969
56.0,70.44255,134.7486,-13.98283
57.0,70.04599,135.61069,-13.874498
58.0,69.61938,136.43523,-13.758604
59.0,69.14978,137.19458,-13.636151
60.0,68.659424,137.89676,-13.508266
61.0,68.13411,138.54904,-13.375166
62.0,67.585625,139.15881,-13.236575
63.0,67.01601,139.75203,-13.092539
64.0,66.413055,140.29541,-12.943568
65.0,65.79215,140.7745,-12.790271
66.0,65.1468,141.18045,-12.633062
67.0,64.4843,141.52304,-12.472248
68.0,63.807175,141.80334,-12.308332
69.0,63.118073,142.01105,-12.1421995
70.0,62.411667,142.1792,-11.974833
71.0,61.69593,142.27638,-11.806864
72.0,60.967636,142.31836,-11.63839
73.0,60.233875,142.34833,-11.469154
74.0,59.498924,142.32112,-11.298968
75.0,58.761856,142.27014,-11.128017
76.0,58.02552,142.17052,-10.95694
77.0,57.284492,142.01573,-10.786663
78.0,56.554028,141.81998,-10.618148
79.0,55.827305,141.61159,-10.452179
80.0,55.103554,141.32571,-10.289287
81.0,54.391132,141.01086,-10.12974
82.0,53.693718,140.66412,-9.973607
83.0,53.00107,140.29364,-9.820805
84.0,52.320168,139.88075,-9.671201
85.0,51.650482,139.39899,-9.524788
86.0,51.001537,138.93301,-9.381868
87.0,50.37239,138.42902,-9.243088
88.0,49.75728,137.88626,-9.109222
89.0,49.160347,137.26443,-8.980799
90.0,48.578888,136.65251,-8.857834
91.0,48.018158,136.02267,-8.739889
92.0,47.475918,135.3688,-8.626365
93.0,46.95327,134.72232,-8.51683
94.0,46.449326,134.01001,-8.411217
95.0,45.967934,133.30554,-8.30979
96.0,45.504063,132.58627,-8.213009
97.0,45.06002,131.80734,-8.121329
98.0,44.634144,131.08856,-8.035032
99.0,44.235657,130.38011,-7.9541545
