t,Ip,Ii,gt
0.0,35.9995,44.001007,-0.24250698
1.0,38.78182,43.909615,0.22233403
2.0,41.08051,44.424107,0.8431866
3.0,43.13503,45.549404,1.3829244
4.0,44.924675,47.138226,1.7675014
5.0,46.52673,49.047287,2.0077538
6.0,47.980698,51.113766,2.1346037
7.0,49.327183,53.301727,2.1808157
8.0,50.571518,55.476936,2.175766
9.0,51.7315,57.63235,2.1428444
10.0,52.83588,59.759995,2.0979486
11.0,53.886406,61.84017,2.0499158
12.0,54.89857,63.883,2.0028157
13.0,55.87397,65.88121,1.9586978
14.0,56.808617,67.81189,1.9194163
15.0,57.71928,69.71758,1.8870807
16.0,58.603252,71.5946,1.863505
17.0,59.45865,73.4423,1.8494179
18.0,60.299263,75.30476,1.8440233
19.0,61.106583,77.141205,1.8451118
20.0,61.900444,79.00412,1.8496877
21.0,62.676674,80.87994,1.8548083
22.0,63.408546,82.70369,1.8583304
23.0,64.13812,84.586105,1.8593054
24.0,64.82614,86.430725,1.8579034
25.0,65.50218,88.299835,1.8549368
26.0,66.151596,90.16055,1.8512683
27.0,66.7738,92.01747,1.8473831
28.0,67.36217,93.8475,1.8432343
29.0,67.93097,95.712395,1.8383354
30.0,68.46151,97.52939,1.8319337
31.0,68.97533,99.39134,1.8231958
32.0,69.45438,101.21138,1.8113253
33.0,69.8954,103.00133,1.7956418
34.0,70.31116,104.802765,1.7756219
35.0,70.689545,106.55239,1.7509524
36.0,71.0371,108.28528,1.7215626
37.0,71.34053,109.97262,1.6876644
38.0,71.63124,111.6835,1.6497815
39.0,71.867905,113.27312,1.6087538
40.0,72.07733,114.87239,1.5656998
41.0,72.25101,116.42047,1.5219225
42.0,72.38377,117.90947,1.4787602
43.0,72.48877,119.37985,1.4373763
44.0,72.549995,120.799934,1.3985308
45.0,72.58438,122.1917,1.3624263
46.0,72.56439,123.509,1.3286384
47.0,72.52255,124.851875,1.2962444
48.0,72.44499,126.144104,1.2640833
49.0,72.32376,127.381836,1.2310803
50.0,72.16526,128.58194,1.1964744
51.0,71.97254,129.75272,1.1598177
52.0,71.73866,130.88298,1.1207088
53.0,71.47647,131.98656,1.0784357
54.0,71.17961,133.05904,1.0318009
55.0,70.84468,134.03583,0.9794359
56.0,70.47328,135.00343,0.92059076
57.0,70.06416,135.84998,0.85596573
58.0,69.63543,136.69843,0.78803205
59.0,69.173615,137.46808,0.72050786
60.0,68.6785,138.14922,0.6572075
61.0,68.162476,138.79288,0.60083187
62.0,67.60083,139.33528,0.5522363
63.0,67.0314,139.89557,0.5103282
64.0,66.424225,140.36417,0.47246504
65.0,65.80631,140.837,0.43506134
66.0,65.156525,141.23457,0.39429772
67.0,64.49357,141.60051,0.34685874
68.0,63.822792,141.94868,0.29071033
69.0,63.12651,142.1902,0.22578299
70.0,62.420486,142.37468,0.15442348
71.0,61.703552,142.49516,0.08127916
72.0,60.9768,142.55383,0.01234746
73.0,60.247223,142.55014,-0.046822786
74.0,59.51097,142.46716,-0.0931828
75.0,58.771584,142.35727,-0.12741935
76.0,58.03445,142.22173,-0.15357268
77.0,57.29776,142.07983,-0.17720103
78.0,56.563477,141.85999,-0.20323169
79.0,55.837837,141.64627,-0.23453414
80.0,55.121254,141.38828,-0.27164328
81.0,54.409916,141.11426,-0.3133304
82.0,53.70381,140.76166,-0.35745013
83.0,53.013535,140.36877,-0.40169847
84.0,52.334404,139.95332,-0.4440689
85.0,51.673874,139.48828,-0.4830904
86.0,51.025105,138.96869,-0.5178908
87.0,50.38926,138.42778,-0.54819274
88.0,49.772217,137.86383,-0.57425463
89.0,49.17626,137.28992,-0.59676075
90.0,48.595356,136.68523,-0.61666167
91.0,48.030296,136.04678,-0.63497293
92.0,47.489105,135.41467,-0.65254915
93.0,46.965843,134.75476,-0.66989386
94.0,46.460297,134.06236,-0.6870351
95.0,45.978813,133.39247,-0.70350945
96.0,45.514515,132.64044,-0.71845865
97.0,45.071785,131.9372,-0.7308196
98.0,44.65085,131.20534,-0.73959017
99.0,44.244705,130.42442,-0.744118
100.0,43.863598,129.71255,-0.74433243
101.0,43.500378,128.96289,-0.74086654
102.0,43.157738,128.22571,-0.7349968
103.0,42.833477,127.484146,-0.7283977
104.0,42.527424,126.754745,-0.72274315
105.0,42.240505,126.037704,-0.71921813
106.0,41.973927,125.32474,-0.7180685
107.0,41.72364,124.601,-0.7184185
108.0,41.491653,123.89339,-0.7185477
109.0,41.274498,123.16384,-0.7165842
110.0,41.07518,122.43293,-0.7112495
111.0,40.89405,121.73546,-0.70229626
112.0,40.72812,121.03605,-0.69045687
113.0,40.577988,120.358894,-0.67703784
114.0,40.44023,119.67258,-0.66340435
115.0,40.320896,119.01874,-0.65056586
116.0,40.21337,118.373085,-0.63899505
117.0,40.12152,117.76572,-0.6286731
118.0,40.042675,117.13081,-0.6192752
119.0,39.974922,116.507645,-0.6103859
120.0,39.9207,115.89964,-0.6016482
121.0,39.880062,115.283905,-0.59280324
122.0,39.85167,114.715546,-0.5836605
123.0,39.830956,114.11835,-0.5740298
124.0,39.821617,113.5525,-0.5636667
125.0,39.823143,113.01926,-0.55223787
126.0,39.836563,112.44699,-0.5393014
127.0,39.85913,111.943726,-0.52431107
