t,Ip,Ii,gt
0.0,35.997253,44.00129,-0.1083622
1.0,37.248455,44.122997,0.39122498
2.0,39.956207,44.851234,1.0471303
3.0,42.712677,46.19915,1.6197101
4.0,44.90648,48.00599,1.9659038
5.0,46.630615,50.070686,2.1263103
6.0,48.07879,52.218803,2.1627471
7.0,49.36615,54.385895,2.1264925
8.0,50.55154,56.47074,2.054556
9.0,51.6864,58.480717,1.9718893
10.0,52.786316,60.41976,1.8945805
11.0,53.84752,62.27781,1.8321333
12.0,54.875534,64.08831,1.788817
13.0,55.857788,65.87533,1.7647943
14.0,56.798798,67.63291,1.7577163
15.0,57.700226,69.37756,1.7647598
16.0,58.57731,71.15318,1.7840861
17.0,59.432503,72.94832,1.8142948
18.0,60.263054,74.782036,1.8522502
19.0,61.080585,76.66996,1.8921406
20.0,61.876213,78.5634,1.9275097
21.0,62.646202,80.50027,1.9539473
22.0,63.391304,82.47734,1.9696237
23.0,64.108475,84.43617,1.9741113
24.0,64.806656,86.40411,1.9673575
25.0,65.4779,88.3603,1.949575
26.0,66.12755,90.305756,1.921833
27.0,66.74883,92.21246,1.8867477
28.0,67.33658,94.028854,1.8485916
29.0,67.9052,95.87479,1.8123719
30.0,68.451385,97.71488,1.7821219
31.0,68.95174,99.47518,1.7594606
32.0,69.417145,101.17674,1.743418
33.0,69.86316,102.92299,1.7314252
34.0,70.27478,104.6606,1.7205899
35.0,70.65167,106.373795,1.7085024
36.0,70.99872,108.05916,1.6934731
37.0,71.31137,109.71935,1.6744653
38.0,71.59491,111.419754,1.6509607
39.0,71.829895,113.051636,1.6228935
40.0,72.04237,114.647354,1.5906165
41.0,72.21455,116.236626,1.5548466
42.0,72.352234,117.7729,1.5165522
43.0,72.452576,119.2773,1.4767933
44.0,72.50688,120.70175,1.4365603
45.0,72.5399,122.14956,1.3966334
46.0,72.53186,123.49805,1.3574144
47.0,72.484886,124.837105,1.3186827
48.0,72.40203,126.13976,1.2793096
49.0,72.288605,127.39781,1.2372425
50.0,72.12691,128.58873,1.1902233
51.0,71.9358,129.7634,1.1373687
52.0,71.7083,130.88805,1.0805002
53.0,71.44623,131.93951,1.0236454
54.0,71.14008,132.92084,0.97048354
55.0,70.80944,133.8723,0.9218824
56.0,70.44255,134.7486,0.8757266
57.0,70.04599,135.61069,0.82910466
58.0,69.61938,136.43523,0.78093183
59.0,69.14978,137.19458,0.73276615
60.0,68.659424,137.89676,0.6871716
61.0,68.13411,138.54904,0.6450864
62.0,67.585625,139.15881,0.6043267
63.0,67.01601,139.75203,0.5603653
64.0,66.413055,140.29541,0.50885177
65.0,65.79215,140.7745,0.44811976
66.0,65.1468,141.18045,0.3800546
67.0,64.4843,141.52304,0.30907166
68.0,63.807175,141.80334,0.24017382
69.0,63.118073,142.01105,0.17727137
70.0,62.411667,142.1792,0.12222588
71.0,61.69593,142.27638,0.074708104
72.0,60.967636,142.31836,0.032705188
73.0,60.233875,142.34833,-0.006566167
74.0,59.498924,142.32112,-0.04563415
75.0,58.761856,142.27014,-0.086031675
76.0,58.02552,142.17052,-0.12807429
77.0,57.284492,142.01573,-0.17114615
78.0,56.554028,141.81998,-0.2142191
79.0,55.827305,141.61159,-0.256315
80.0,55.103554,141.32571,-0.29676354
81.0,54.391132,141.01086,-0.33526957
82.0,53.693718,140.66412,-0.37186038
83.0,53.00107,140.29364,-0.4068029
84.0,52.320168,139.88075,-0.4404781
85.0,51.650482,139.39899,-0.47324228
86.0,51.001537,138.93301,-0.50527334
87.0,50.37239,138.42902,-0.5364877
88.0,49.75728,137.88626,-0.5665643
89.0,49.160347,137.26443,-0.5950787
90.0,48.578888,136.65251,-0.6216315
91.0,48.018158,136.02267,-0.6459017
92.0,47.475918,135.3688,-0.6676103
93.0,46.95327,134.72232,-0.6864691
94.0,46.449326,134.01001,-0.7021556
95.0,45.967934,133.30554,-0.7143506
96.0,45.504063,132.58627,-0.7228104
97.0,45.06002,131.80734,-0.72746456
98.0,44.634144,131.08856,-0.7284908
99.0,44.235657,130.38011,-0.7263657
100.0,43.85289,129.64944,-0.72186375
101.0,43.489555,128.89401,-0.71598804
102.0,43.144638,128.17755,-0.70985985
103.0,42.82111,127.47084,-0.704558
104.0,42.51738,126.80539,-0.7009537
105.0,42.232674,126.08783,-0.69957876
106.0,41.961544,125.36145,-0.7005545
107.0,41.71181,124.67215,-0.7035862
108.0,41.481934,123.993286,-0.7080178
109.0,41.2618,123.22765,-0.71291995
110.0,41.066463,122.54693,-0.7172036
111.0,40.88679,121.82381,-0.7197287
112.0,40.72208,121.1081,-0.7194458
